TransactionID,CustomerID,TransactionDate,ProductID,ProductName,Quantity,UnitPrice,TotalAmount,Channel,Category
T001,C001,2023-01-10,P001,Laptop,1,1299.99,1299.99,Online,Electronics
T002,C001,2023-02-15,P005,Mouse Pad,2,15.99,31.98,Online,Accessories
T003,C002,2023-01-05,P002,Monitor,1,349.99,349.99,In-Store,Electronics
T004,C002,2023-03-20,P006,USB Cable,3,9.99,29.97,Online,Accessories
T005,C003,2023-02-12,P003,Keyboard,1,149.99,149.99,Online,Electronics
T006,C003,2023-04-25,P007,Screen Protector,5,7.99,39.95,In-Store,Accessories
T007,C004,2023-01-18,P001,Laptop,1,1299.99,1299.99,Phone,Electronics
T008,C005,2023-03-08,P004,Webcam,2,99.99,199.98,Online,Electronics
T009,C005,2023-05-10,P008,Desk Lamp,1,45.99,45.99,In-Store,Accessories
T010,C006,2023-02-28,P002,Monitor,1,349.99,349.99,Online,Electronics
T011,C006,2023-04-14,P009,Keyboard Wrist Rest,4,12.99,51.96,Online,Accessories
T012,C007,2023-01-22,P005,Mouse Pad,3,15.99,47.97,In-Store,Accessories
T013,C007,2023-02-03,P003,Keyboard,1,149.99,149.99,Online,Electronics
T014,C008,2023-04-30,P001,Laptop,1,1299.99,1299.99,Online,Electronics
T015,C009,2023-05-05,P006,USB Cable,2,9.99,19.98,In-Store,Accessories
T016,C010,2023-03-12,P004,Webcam,1,99.99,99.99,Online,Electronics
T017,C010,2023-05-20,P007,Screen Protector,2,7.99,15.98,Phone,Accessories
T018,C011,2023-02-15,P002,Monitor,2,349.99,699.98,Online,Electronics
T019,C011,2023-04-08,P008,Desk Lamp,3,45.99,137.97,In-Store,Accessories
T020,C012,2023-01-30,P003,Keyboard,1,149.99,149.99,Online,Electronics
T021,C013,2023-05-10,P001,Laptop,1,1299.99,1299.99,In-Store,Electronics
T022,C014,2023-02-20,P005,Mouse Pad,1,15.99,15.99,Online,Accessories
T023,C015,2023-04-05,P004,Webcam,1,99.99,99.99,Phone,Electronics
T024,C016,2023-01-15,P002,Monitor,1,349.99,349.99,Online,Electronics
T025,C016,2023-03-10,P009,Keyboard Wrist Rest,2,12.99,25.98,Online,Accessories
T026,C016,2023-05-15,P001,Laptop,1,1299.99,1299.99,In-Store,Electronics
T027,C017,2023-02-25,P006,USB Cable,1,9.99,9.99,Online,Accessories
T028,C018,2023-04-12,P003,Keyboard,1,149.99,149.99,Online,Electronics
T029,C019,2023-01-05,P002,Monitor,1,349.99,349.99,Phone,Electronics
T030,C019,2023-03-18,P008,Desk Lamp,2,45.99,91.98,In-Store,Accessories
T031,C020,2023-05-08,P005,Mouse Pad,2,15.99,31.98,Online,Accessories
T032,C001,2023-06-10,P003,Keyboard,1,149.99,149.99,Online,Electronics
T033,C002,2023-06-15,P001,Laptop,1,1299.99,1299.99,Online,Electronics
T034,C005,2023-06-20,P002,Monitor,1,349.99,349.99,In-Store,Electronics
T035,C008,2023-06-25,P006,USB Cable,5,9.99,49.95,Online,Accessories
T036,C010,2023-06-28,P004,Webcam,2,99.99,199.98,Phone,Electronics
T037,C011,2023-07-05,P001,Laptop,1,1299.99,1299.99,Online,Electronics
T038,C016,2023-07-10,P003,Keyboard,1,149.99,149.99,In-Store,Electronics
T039,C019,2023-07-15,P009,Keyboard Wrist Rest,3,12.99,38.97,Online,Accessories
T040,C004,2023-07-18,P002,Monitor,1,349.99,349.99,Online,Electronics
